Edad,Hombres,Mujeres
0,"3,085","3,055"
1,"3,206","2,984"
2,"3,225","3,027"
3,"3,183","2,956"
4,"3,486","3,279"
5,"3,542","3,251"
6,"3,372","3,333"
7,"3,323","3,296"
8,"3,455","3,203"
9,"3,322","3,187"
10,"3,325","3,368"
11,"3,347","3,345"
12,"3,284","3,301"
13,"3,235","3,335"
14,"3,257","3,185"
15,"3,467","3,602"
16,"3,321","3,367"
17,"3,223","3,423"
18,"3,440","3,516"
19,"3,090","3,343"
20,"2,886","3,403"
21,"2,678","3,195"
22,"3,003","3,357"
23,"2,841","3,224"
24,"2,762","3,206"
25,"2,635","3,184"
26,"2,519","2,827"
27,"2,504","2,848"
28,"2,412","2,673"
29,"2,386","2,656"
30,"2,609","2,848"
31,"1,743","2,176"
32,"2,167","2,510"
33,"2,060","2,358"
34,"1,879","2,245"
35,"1,972","2,408"
36,"1,979","2,240"
37,"1,745","1,988"
38,"2,018","2,177"
39,"1,807","2,001"
40,"1,992","2,328"
41,"1,323","1,557"
42,"1,988","2,284"
43,"1,522","1,691"
44,"1,458","1,642"
45,"1,576","1,736"
46,"1,248","1,428"
47,"1,180","1,288"
48,"1,229","1,370"
49,"1,242","1,383"
50,"1,405","1,515"
51,866,880
52,"1,157","1,202"
53,946,999
54,945,"1,027"
55,935,976
56,898,873
57,721,735
58,795,844
59,729,812
60,892,"1,017"
61,486,488
62,650,692
63,643,719
64,568,646
65,624,683
66,502,492
67,463,500
68,452,546
69,384,460
70,483,597
71,233,270
72,365,422
73,284,348
74,320,298
75,325,400
76,270,296
77,200,261
78,228,299
79,188,242
80,234,304
81,95,115
82,148,180
83,108,147
84,110,173
85,111,176
86,107,125
87,74,124
88,62,97
89,69,100
90,75,85
91,24,37
92,24,34
93,23,31
94,28,22
95,14,35
96,7,22
97,6,9
98,6,19
99,18,21
100+ ,29,22
No especificado,293,255
